,station,date,prcp,tobs
523,USC00519397,2011-07-29,0.04,78
524,USC00519397,2011-07-30,0.12,80
529,USC00519397,2011-08-04,0.02,76
530,USC00519397,2011-08-05,0.03,78
531,USC00519397,2011-08-06,0.01,77
541,USC00519397,2011-08-17,0.02,77
544,USC00519397,2011-08-20,0.07,77
552,USC00519397,2011-08-28,0.05,76
553,USC00519397,2011-08-29,0.1,76
554,USC00519397,2011-08-30,0.02,78
558,USC00519397,2011-09-04,0.03,77
567,USC00519397,2011-09-13,0.01,77
571,USC00519397,2011-09-17,0.02,77
572,USC00519397,2011-09-18,0.04,77
576,USC00519397,2011-09-22,0.03,78
588,USC00519397,2011-10-07,0.03,78
591,USC00519397,2011-10-10,0.02,77
592,USC00519397,2011-10-11,0.03,78
595,USC00519397,2011-10-14,0.03,78
596,USC00519397,2011-10-15,0.02,77
598,USC00519397,2011-10-17,0.02,77
599,USC00519397,2011-10-18,0.01,76
605,USC00519397,2011-10-24,0.14,74
606,USC00519397,2011-10-25,1.6,77
607,USC00519397,2011-10-26,0.01,76
609,USC00519397,2011-10-28,0.05,73
610,USC00519397,2011-10-29,0.01,76
612,USC00519397,2011-10-31,0.03,76
613,USC00519397,2011-11-01,0.58,71
614,USC00519397,2011-11-02,0.28,77
615,USC00519397,2011-11-03,0.02,77
616,USC00519397,2011-11-04,0.01,75
621,USC00519397,2011-11-09,0.02,76
623,USC00519397,2011-11-11,0.05,74
633,USC00519397,2011-11-21,0.01,76
634,USC00519397,2011-11-22,0.02,73
635,USC00519397,2011-11-23,0.01,75
637,USC00519397,2011-11-25,0.01,70
638,USC00519397,2011-11-26,0.02,75
639,USC00519397,2011-11-27,0.07,73
642,USC00519397,2011-11-30,0.02,66
643,USC00519397,2011-12-01,0.03,69
644,USC00519397,2011-12-02,0.08,68
651,USC00519397,2011-12-09,0.13,71
652,USC00519397,2011-12-10,0.07,73
653,USC00519397,2011-12-11,0.07,73
654,USC00519397,2011-12-12,0.08,77
655,USC00519397,2011-12-13,0.4,72
656,USC00519397,2011-12-14,0.7,71
658,USC00519397,2011-12-16,0.01,70
659,USC00519397,2011-12-17,0.07,73
660,USC00519397,2011-12-18,0.02,69
661,USC00519397,2011-12-19,0.15,74
662,USC00519397,2011-12-20,0.02,72
663,USC00519397,2011-12-21,0.18,71
664,USC00519397,2011-12-22,0.03,72
665,USC00519397,2011-12-23,0.04,72
666,USC00519397,2011-12-24,0.1,70
667,USC00519397,2011-12-25,0.03,73
673,USC00519397,2011-12-31,0.01,63
686,USC00519397,2012-01-16,0.04,75
689,USC00519397,2012-01-19,0.02,68
697,USC00519397,2012-01-27,0.04,68
698,USC00519397,2012-01-28,0.03,72
699,USC00519397,2012-01-29,1.03,72
700,USC00519397,2012-01-30,0.01,71
708,USC00519397,2012-02-07,0.37,71
709,USC00519397,2012-02-08,0.28,65
710,USC00519397,2012-02-09,0.01,61
714,USC00519397,2012-02-13,0.04,72
715,USC00519397,2012-02-14,0.01,65
719,USC00519397,2012-02-18,0.04,71
720,USC00519397,2012-02-19,0.01,72
727,USC00519397,2012-02-26,0.05,73
728,USC00519397,2012-02-27,0.06,72
731,USC00519397,2012-03-01,0.06,73
733,USC00519397,2012-03-03,0.03,71
734,USC00519397,2012-03-04,0.01,72
735,USC00519397,2012-03-05,1.08,67
736,USC00519397,2012-03-06,4.0,69
737,USC00519397,2012-03-07,2.42,67
738,USC00519397,2012-03-08,0.02,69
739,USC00519397,2012-03-09,0.19,66
740,USC00519397,2012-03-10,0.06,73
742,USC00519397,2012-03-12,0.03,71
746,USC00519397,2012-03-16,0.05,72
752,USC00519397,2012-03-22,0.03,74
753,USC00519397,2012-03-23,0.01,72
756,USC00519397,2012-03-26,0.11,72
757,USC00519397,2012-03-27,0.03,70
758,USC00519397,2012-03-28,0.02,71
766,USC00519397,2012-04-05,0.19,74
768,USC00519397,2012-04-07,0.03,74
770,USC00519397,2012-04-09,0.07,72
771,USC00519397,2012-04-10,0.05,69
772,USC00519397,2012-04-11,0.06,71
774,USC00519397,2012-04-13,0.03,71
776,USC00519397,2012-04-15,0.01,75
777,USC00519397,2012-04-16,0.01,75
782,USC00519397,2012-04-21,0.01,74
783,USC00519397,2012-04-22,0.04,69
784,USC00519397,2012-04-23,0.03,73
796,USC00519397,2012-05-05,0.04,74
822,USC00519397,2012-05-31,0.01,73
823,USC00519397,2012-06-01,0.02,76
824,USC00519397,2012-06-02,0.02,76
847,USC00519397,2012-06-25,0.03,73
848,USC00519397,2012-06-26,0.15,73
849,USC00519397,2012-06-27,0.01,75
851,USC00519397,2012-06-29,0.05,76
855,USC00519397,2012-07-03,0.04,74
856,USC00519397,2012-07-04,0.01,77
857,USC00519397,2012-07-05,0.03,77
859,USC00519397,2012-07-07,0.04,76
868,USC00519397,2012-07-16,0.01,78
878,USC00519397,2012-07-26,0.02,77
881,USC00519397,2012-07-29,0.01,73
882,USC00519397,2012-07-30,0.01,78
891,USC00519397,2012-08-08,0.02,78
898,USC00519397,2012-08-15,0.01,79
905,USC00519397,2012-08-22,0.03,77
910,USC00519397,2012-08-27,0.02,73
911,USC00519397,2012-08-28,1.0,75
912,USC00519397,2012-08-29,0.02,78
913,USC00519397,2012-08-30,0.04,78
915,USC00519397,2012-09-01,0.01,77
916,USC00519397,2012-09-02,0.04,76
917,USC00519397,2012-09-03,0.06,77
919,USC00519397,2012-09-05,0.01,75
920,USC00519397,2012-09-06,0.04,77
922,USC00519397,2012-09-08,0.06,78
926,USC00519397,2012-09-12,0.02,76
927,USC00519397,2012-09-13,0.05,76
928,USC00519397,2012-09-14,0.04,78
932,USC00519397,2012-09-18,0.06,71
934,USC00519397,2012-09-20,0.07,76
935,USC00519397,2012-09-21,0.08,77
937,USC00519397,2012-09-23,0.04,76
940,USC00519397,2012-09-26,0.01,76
941,USC00519397,2012-09-27,0.02,78
944,USC00519397,2012-09-30,0.02,75
950,USC00519397,2012-10-06,0.03,73
959,USC00519397,2012-10-15,0.02,78
972,USC00519397,2012-10-28,0.02,77
973,USC00519397,2012-10-29,0.04,77
975,USC00519397,2012-10-31,0.02,78
984,USC00519397,2012-11-09,0.03,76
988,USC00519397,2012-11-13,0.06,77
990,USC00519397,2012-11-15,0.08,75
991,USC00519397,2012-11-16,0.03,73
992,USC00519397,2012-11-17,0.01,74
993,USC00519397,2012-11-18,0.03,76
999,USC00519397,2012-11-24,0.02,69
1001,USC00519397,2012-11-26,0.06,72
1009,USC00519397,2012-12-04,0.2,70
1010,USC00519397,2012-12-05,0.01,76
1018,USC00519397,2012-12-13,0.14,73
1019,USC00519397,2012-12-14,0.09,74
1020,USC00519397,2012-12-15,0.01,73
1021,USC00519397,2012-12-16,0.02,73
1022,USC00519397,2012-12-17,0.02,73
1023,USC00519397,2012-12-18,0.12,74
1025,USC00519397,2012-12-20,0.1,71
1030,USC00519397,2012-12-26,0.03,73
1035,USC00519397,2012-12-31,0.04,68
1036,USC00519397,2013-01-01,0.02,71
1037,USC00519397,2013-01-02,0.13,71
1038,USC00519397,2013-01-03,0.23,69
1039,USC00519397,2013-01-04,0.04,72
1040,USC00519397,2013-01-05,0.03,72
1041,USC00519397,2013-01-06,0.04,73
1042,USC00519397,2013-01-07,0.04,72
1044,USC00519397,2013-01-09,0.09,71
1050,USC00519397,2013-01-15,0.4,63
1059,USC00519397,2013-01-24,0.14,68
1060,USC00519397,2013-01-25,0.43,64
1063,USC00519397,2013-01-28,1.13,66
1064,USC00519397,2013-01-29,0.04,68
1072,USC00519397,2013-02-06,0.04,70
1073,USC00519397,2013-02-07,0.04,71
1075,USC00519397,2013-02-09,0.01,67
1085,USC00519397,2013-02-19,0.09,71
1086,USC00519397,2013-02-20,0.09,71
1087,USC00519397,2013-02-21,0.07,71
1088,USC00519397,2013-02-22,0.31,72
1089,USC00519397,2013-02-23,0.15,71
1090,USC00519397,2013-02-24,0.04,71
1092,USC00519397,2013-02-26,0.01,71
1093,USC00519397,2013-02-27,0.03,71
1103,USC00519397,2013-03-09,0.02,73
1104,USC00519397,2013-03-10,1.29,68
1105,USC00519397,2013-03-11,0.8,63
1106,USC00519397,2013-03-12,0.01,66
1117,USC00519397,2013-03-23,0.02,72
1119,USC00519397,2013-03-25,0.32,68
1122,USC00519397,2013-03-28,0.3,72
1123,USC00519397,2013-03-29,0.06,70
1124,USC00519397,2013-03-30,0.01,70
1125,USC00519397,2013-03-31,0.25,64
1131,USC00519397,2013-04-06,0.03,74
1136,USC00519397,2013-04-11,0.01,77
1140,USC00519397,2013-04-15,0.8,72
1141,USC00519397,2013-04-16,0.08,70
1144,USC00519397,2013-04-19,0.01,75
1147,USC00519397,2013-04-22,0.05,73
1148,USC00519397,2013-04-23,0.01,76
1149,USC00519397,2013-04-24,0.55,70
1150,USC00519397,2013-04-25,0.01,76
1159,USC00519397,2013-05-04,0.14,69
1160,USC00519397,2013-05-05,0.12,69
1161,USC00519397,2013-05-06,0.09,75
1173,USC00519397,2013-05-18,0.02,78
1174,USC00519397,2013-05-19,0.04,73
1175,USC00519397,2013-05-20,0.03,74
1183,USC00519397,2013-05-28,0.04,77
1185,USC00519397,2013-05-30,0.03,77
1187,USC00519397,2013-06-01,0.01,79
1200,USC00519397,2013-06-14,0.37,76
1204,USC00519397,2013-06-18,0.01,78
1206,USC00519397,2013-06-20,0.04,73
1207,USC00519397,2013-06-21,0.12,76
1208,USC00519397,2013-06-22,0.04,77
1209,USC00519397,2013-06-23,0.02,75
1210,USC00519397,2013-06-24,0.35,76
1211,USC00519397,2013-06-25,0.03,74
1212,USC00519397,2013-06-26,0.01,75
1215,USC00519397,2013-06-29,0.03,77
1216,USC00519397,2013-06-30,0.01,78
1219,USC00519397,2013-07-03,0.03,77
1227,USC00519397,2013-07-11,0.03,77
1228,USC00519397,2013-07-12,0.01,79
1237,USC00519397,2013-07-21,0.07,78
1244,USC00519397,2013-07-28,0.02,76
1245,USC00519397,2013-07-29,0.06,78
1246,USC00519397,2013-07-30,0.74,79
1247,USC00519397,2013-07-31,0.01,79
1248,USC00519397,2013-08-01,0.02,79
1257,USC00519397,2013-08-10,0.03,76
1258,USC00519397,2013-08-11,0.05,79
1261,USC00519397,2013-08-14,0.02,78
1263,USC00519397,2013-08-16,0.01,76
1268,USC00519397,2013-08-21,0.25,77
1279,USC00519397,2013-09-01,0.02,78
1285,USC00519397,2013-09-07,0.14,75
1286,USC00519397,2013-09-08,0.01,80
1290,USC00519397,2013-09-12,0.03,78
1291,USC00519397,2013-09-13,0.02,78
1292,USC00519397,2013-09-14,0.14,83
1293,USC00519397,2013-09-15,0.01,79
1295,USC00519397,2013-09-17,0.02,76
1296,USC00519397,2013-09-18,0.14,78
1297,USC00519397,2013-09-19,0.02,78
1299,USC00519397,2013-09-21,0.02,77
1300,USC00519397,2013-09-22,0.02,79
1301,USC00519397,2013-09-23,0.01,77
1302,USC00519397,2013-09-24,0.01,78
1303,USC00519397,2013-09-25,0.25,79
1304,USC00519397,2013-09-26,0.07,78
1307,USC00519397,2013-09-29,0.08,78
1308,USC00519397,2013-09-30,0.02,79
1322,USC00519397,2013-10-14,0.18,73
1323,USC00519397,2013-10-15,0.02,74
1336,USC00519397,2013-10-28,0.01,74
1341,USC00519397,2013-11-02,0.02,78
1343,USC00519397,2013-11-04,0.01,74
1346,USC00519397,2013-11-07,0.02,74
1348,USC00519397,2013-11-09,0.01,76
1349,USC00519397,2013-11-10,1.98,72
1350,USC00519397,2013-11-11,0.2,74
1354,USC00519397,2013-11-15,0.89,75
1369,USC00519397,2013-11-30,0.18,77
1371,USC00519397,2013-12-02,2.01,71
1372,USC00519397,2013-12-03,0.01,71
1379,USC00519397,2013-12-10,0.03,76
1382,USC00519397,2013-12-13,0.02,71
1385,USC00519397,2013-12-16,1.1,68
1386,USC00519397,2013-12-17,0.02,65
1388,USC00519397,2013-12-19,0.16,69
1389,USC00519397,2013-12-20,0.09,69
1390,USC00519397,2013-12-21,0.02,71
1393,USC00519397,2013-12-24,0.05,74
1394,USC00519397,2013-12-25,0.02,73
1403,USC00519397,2014-01-03,0.76,65
1409,USC00519397,2014-01-09,0.03,65
1412,USC00519397,2014-01-12,0.35,69
1414,USC00519397,2014-01-14,0.43,70
1415,USC00519397,2014-01-15,0.01,66
1416,USC00519397,2014-01-16,0.25,69
1422,USC00519397,2014-01-22,0.35,69
1427,USC00519397,2014-01-27,0.14,68
1428,USC00519397,2014-01-28,0.02,70
1429,USC00519397,2014-01-29,0.27,70
1430,USC00519397,2014-01-30,0.04,65
1432,USC00519397,2014-02-01,0.22,74
1433,USC00519397,2014-02-02,0.38,67
1435,USC00519397,2014-02-04,0.5,68
1436,USC00519397,2014-02-05,0.23,73
1437,USC00519397,2014-02-06,0.08,72
1438,USC00519397,2014-02-07,0.03,77
1446,USC00519397,2014-02-15,0.01,73
1448,USC00519397,2014-02-17,0.35,72
1449,USC00519397,2014-02-18,0.03,72
1460,USC00519397,2014-03-01,0.25,70
1461,USC00519397,2014-03-02,0.48,71
1462,USC00519397,2014-03-03,0.16,65
1466,USC00519397,2014-03-07,0.25,72
1467,USC00519397,2014-03-08,0.64,68
1468,USC00519397,2014-03-09,0.04,72
1470,USC00519397,2014-03-11,0.16,74
1485,USC00519397,2014-03-26,0.05,74
1490,USC00519397,2014-03-31,0.02,75
1491,USC00519397,2014-04-01,0.16,73
1492,USC00519397,2014-04-02,0.02,76
1493,USC00519397,2014-04-03,0.16,76
1497,USC00519397,2014-04-07,0.01,71
1502,USC00519397,2014-04-12,0.01,69
1503,USC00519397,2014-04-13,0.04,73
1504,USC00519397,2014-04-14,0.08,74
1506,USC00519397,2014-04-16,0.05,74
1508,USC00519397,2014-04-18,0.02,76
1509,USC00519397,2014-04-19,0.01,76
1511,USC00519397,2014-04-21,0.06,73
1512,USC00519397,2014-04-22,0.05,76
1515,USC00519397,2014-04-25,0.01,75
1516,USC00519397,2014-04-26,0.01,72
1517,USC00519397,2014-04-27,0.01,73
1518,USC00519397,2014-04-28,0.07,73
1525,USC00519397,2014-05-05,0.06,75
1526,USC00519397,2014-05-06,0.07,77
1527,USC00519397,2014-05-07,0.03,72
1530,USC00519397,2014-05-10,0.01,76
1532,USC00519397,2014-05-12,0.45,74
1539,USC00519397,2014-05-19,0.43,75
1541,USC00519397,2014-05-21,0.15,74
1545,USC00519397,2014-05-25,0.76,74
1546,USC00519397,2014-05-26,0.05,73
1547,USC00519397,2014-05-27,0.01,77
1548,USC00519397,2014-05-28,0.03,76
1553,USC00519397,2014-06-02,0.66,77
1554,USC00519397,2014-06-03,0.01,78
1558,USC00519397,2014-06-07,0.03,78
1566,USC00519397,2014-06-15,0.01,78
1568,USC00519397,2014-06-17,0.03,77
1569,USC00519397,2014-06-18,0.15,78
1570,USC00519397,2014-06-19,0.01,78
1571,USC00519397,2014-06-20,0.07,73
1572,USC00519397,2014-06-21,0.01,75
1573,USC00519397,2014-06-22,0.01,75
1574,USC00519397,2014-06-23,0.19,76
1576,USC00519397,2014-06-25,0.05,79
1577,USC00519397,2014-06-26,0.06,76
1578,USC00519397,2014-06-27,0.04,79
1580,USC00519397,2014-06-29,0.01,77
1581,USC00519397,2014-06-30,0.02,79
1583,USC00519397,2014-07-02,0.01,80
1584,USC00519397,2014-07-03,0.06,77
1585,USC00519397,2014-07-04,0.01,80
1586,USC00519397,2014-07-05,0.02,76
1587,USC00519397,2014-07-06,0.05,76
1590,USC00519397,2014-07-09,0.01,78
1597,USC00519397,2014-07-16,0.03,77
1598,USC00519397,2014-07-17,0.05,75
1599,USC00519397,2014-07-18,0.05,79
1601,USC00519397,2014-07-20,1.09,77
1604,USC00519397,2014-07-23,0.01,81
1608,USC00519397,2014-07-27,0.79,81
1618,USC00519397,2014-08-06,0.01,78
1619,USC00519397,2014-08-07,0.15,80
1626,USC00519397,2014-08-14,0.06,80
1636,USC00519397,2014-08-24,0.08,75
1637,USC00519397,2014-08-25,0.01,78
1638,USC00519397,2014-08-26,0.05,77
1639,USC00519397,2014-08-27,0.01,80
1640,USC00519397,2014-08-28,0.01,81
1647,USC00519397,2014-09-04,0.04,74
1648,USC00519397,2014-09-05,0.39,78
1657,USC00519397,2014-09-15,0.01,80
1661,USC00519397,2014-09-19,0.04,76
1662,USC00519397,2014-09-20,0.05,77
1663,USC00519397,2014-09-21,0.01,83
1667,USC00519397,2014-09-25,0.1,83
1669,USC00519397,2014-09-27,0.04,78
1670,USC00519397,2014-09-28,0.01,82
1671,USC00519397,2014-09-29,0.02,83
1672,USC00519397,2014-09-30,0.18,79
1673,USC00519397,2014-10-01,0.37,78
1678,USC00519397,2014-10-06,0.24,77
1679,USC00519397,2014-10-07,1.22,79
1685,USC00519397,2014-10-13,0.06,80
1686,USC00519397,2014-10-14,0.01,80
1687,USC00519397,2014-10-15,0.04,81
1690,USC00519397,2014-10-18,0.02,83
1691,USC00519397,2014-10-20,2.1,82
1693,USC00519397,2014-10-22,0.05,80
1694,USC00519397,2014-10-23,0.23,80
1700,USC00519397,2014-10-29,0.01,80
1701,USC00519397,2014-10-30,0.05,79
1702,USC00519397,2014-10-31,0.02,77
1703,USC00519397,2014-11-01,0.04,79
1707,USC00519397,2014-11-05,0.14,75
1708,USC00519397,2014-11-06,0.1,77
1710,USC00519397,2014-11-08,0.09,71
1714,USC00519397,2014-11-12,0.05,72
1717,USC00519397,2014-11-15,0.62,77
1718,USC00519397,2014-11-16,0.01,72
1722,USC00519397,2014-11-20,0.08,76
1726,USC00519397,2014-11-24,0.04,74
1732,USC00519397,2014-11-30,0.01,74
1734,USC00519397,2014-12-02,0.02,73
1735,USC00519397,2014-12-03,0.15,71
1736,USC00519397,2014-12-04,0.09,72
1743,USC00519397,2014-12-11,0.05,74
1744,USC00519397,2014-12-12,0.01,71
1746,USC00519397,2014-12-14,0.03,73
1747,USC00519397,2014-12-15,0.02,72
1748,USC00519397,2014-12-16,0.01,74
1749,USC00519397,2014-12-17,0.01,72
1755,USC00519397,2014-12-23,0.93,70
1756,USC00519397,2014-12-24,0.04,66
1757,USC00519397,2014-12-25,0.02,61
1763,USC00519397,2014-12-31,0.05,56
1765,USC00519397,2015-01-02,0.04,65
1766,USC00519397,2015-01-03,0.86,62
1767,USC00519397,2015-01-04,0.02,58
1769,USC00519397,2015-01-06,0.02,64
1787,USC00519397,2015-01-24,0.2,68
1788,USC00519397,2015-01-25,0.03,68
1798,USC00519397,2015-02-04,0.01,72
1799,USC00519397,2015-02-05,0.19,67
1804,USC00519397,2015-02-10,0.1,71
1808,USC00519397,2015-02-14,0.08,76
1809,USC00519397,2015-02-15,0.46,58
1813,USC00519397,2015-02-19,0.01,71
1814,USC00519397,2015-02-20,0.01,73
1815,USC00519397,2015-02-21,0.24,63
1827,USC00519397,2015-03-05,0.65,67
1841,USC00519397,2015-03-20,0.05,74
1847,USC00519397,2015-03-26,0.26,65
1850,USC00519397,2015-03-29,0.41,70
1851,USC00519397,2015-03-30,0.04,73
1860,USC00519397,2015-04-08,0.01,75
1866,USC00519397,2015-04-14,0.03,75
1867,USC00519397,2015-04-15,0.01,75
1869,USC00519397,2015-04-17,0.06,77
1874,USC00519397,2015-04-22,0.03,76
1876,USC00519397,2015-04-24,0.07,77
1878,USC00519397,2015-04-26,0.01,78
1879,USC00519397,2015-04-27,0.06,81
1880,USC00519397,2015-04-28,0.04,74
1881,USC00519397,2015-04-29,0.02,77
1883,USC00519397,2015-05-01,0.06,75
1887,USC00519397,2015-05-05,0.05,77
1888,USC00519397,2015-05-06,0.03,75
1889,USC00519397,2015-05-07,0.01,77
1890,USC00519397,2015-05-08,0.18,73
1891,USC00519397,2015-05-09,0.05,76
1894,USC00519397,2015-05-12,0.01,74
1897,USC00519397,2015-05-15,0.13,74
1905,USC00519397,2015-05-23,0.07,75
1930,USC00519397,2015-06-17,0.03,77
1932,USC00519397,2015-06-19,0.01,78
1933,USC00519397,2015-06-20,0.04,78
1936,USC00519397,2015-06-23,0.03,77
1937,USC00519397,2015-06-24,0.03,79
1938,USC00519397,2015-06-25,0.03,79
1951,USC00519397,2015-07-08,0.03,80
1953,USC00519397,2015-07-10,0.01,81
1954,USC00519397,2015-07-11,0.02,79
1955,USC00519397,2015-07-12,0.02,79
1957,USC00519397,2015-07-14,0.01,81
1962,USC00519397,2015-07-19,0.05,78
1965,USC00519397,2015-07-22,0.01,79
1975,USC00519397,2015-08-01,0.02,78
1980,USC00519397,2015-08-06,0.1,81
1981,USC00519397,2015-08-07,0.14,80
1984,USC00519397,2015-08-10,0.01,81
1989,USC00519397,2015-08-15,0.01,80
1991,USC00519397,2015-08-17,0.01,79
1992,USC00519397,2015-08-18,0.06,78
1997,USC00519397,2015-08-23,0.02,81
1998,USC00519397,2015-08-24,0.42,74
1999,USC00519397,2015-08-25,0.2,79
2000,USC00519397,2015-08-26,0.62,77
2001,USC00519397,2015-08-27,0.62,77
2002,USC00519397,2015-08-28,0.06,81
2008,USC00519397,2015-09-03,0.23,77
